"name","dimension","resolution","aspect_ratio","ppi","hz","cpu","gpu","ram","os","price_min","price_max","url"
"ASUS ExpertBook P3 P3405CVA-NZ0417X","14""","2560x1600","16:10","216ppi","144Hz","Intel Core i7-13620H, 6P+4E/16T, 2.40-4.90GHz, 24MiB+16MiB Cache, 45-115W TDP (PBP/MTP), Codename ""Raptor Lake-H"" (Raptor Cove /​ Golden Cove + Gracemont, Intel 7)","Intel UHD Graphics (iGPU), 64EU/1024SP, 1.50GHz, Architektur ""Xe-LP / Gen 12.2""","16GB DDR5-5200 (2 Slots gesamt, max. 64GB)","Windows 11 Pro","€ 897,26","€ 1078,14","https://geizhals.at/asus-expertbook-p3-p3405cva-nz0417x-90nx08e1-m00fh0-a3657640.html"
"Lenovo ThinkPad E14 G7 (Intel)","14""","1920x1200","16:10","162ppi","60Hz","Intel Core 5 210H, 4P+4E/12T, 2.20-4.80GHz, 18MiB+12MiB Cache, 45-115W TDP (PBP/MTP), Codename ""Raptor Lake-H"" (Raptor Cove /​ Golden Cove + Gracemont, Intel 7)","Intel UHD Graphics [Single-Channel-Konfiguration], Intel Iris Xe Graphics [Dual-Channel-Konfiguration] (iGPU)","16GB DDR5-5600 (1x 16GB SO-DIMM-Modul, 2 Slots gesamt, 1 Slot frei, max. 64GB)","Windows 11 Pro","€ 1017,06","","https://geizhals.at/lenovo-thinkpad-e14-g7-intel-21t9001tmh-a3766375.html"
"Lenovo LOQ 15ARP10E","15.6""","1920x1080","16:9","141ppi","144Hz","AMD Ryzen 7 7735HS, 8C/16T, 3.20-4.75GHz, 16MiB+4MiB Cache, 35W TDP, 54W cTDP, Codename ""Rembrandt-R"" (Zen 3+, TSMC 6nm)","NVIDIA GeForce RTX 4050 - 6GB GDDR6 - Mobile, 20SM/2560SP, 49 TOPS, Codename ""AD107"" (Ada Lovelace, TSMC N5P [NVIDIA 4N]), 990MHz, 65W Max GPU Power","16GB DDR5-4800 (1x 16GB SO-DIMM-Modul, 2 Slots gesamt, 1 Slot frei, max. 16GB)","Windows 11 Home","€ 952,26","","https://geizhals.at/lenovo-loq-15arp10e-83s0007dnt-a3760490.html"
"Lenovo V15 G5 IRL","15.6""","1920x1080","16:9","141ppi","60Hz","Intel Core i3-1315U, 2P+4E/8T, 1.20-4.50GHz, 10MiB+8MiB Cache, 15-55W TDP (PBP/MTP), Codename ""Raptor Lake-U"" (Golden Cove + Gracemont, Intel 7)","Intel UHD Graphics (iGPU), 64EU/1024SP, 1.25GHz, Architektur ""Xe-LP / Gen 12.2""","8GB DDR5-5200 (1x 8GB SO-DIMM-Modul, 2 Slots gesamt, 1 Slot frei, max. 32GB)","Not specified","€ 549,00","","https://geizhals.at/lenovo-v15-g5-irl-83gw0076ge-a3641847.html"
"Lenovo Yoga Slim 7a 14AGP11","14""","1920x1200","16:10","162ppi","60Hz","AMD Ryzen AI 7 445, 2C+4c/12T, 2.00-4.60GHz, 8MiB+6MiB Cache, 28W TDP, 15-54W cTDP, Codename ""Gorgon Point"" (Zen 5 + Zen 5c, TSMC 4nm)","AMD Radeon 840M (iGPU), 4CU/256SP, 4 RT-Cores, 2.90GHz, Architektur ""RDNA 3.5""","16GB LPDDR5X-8000 Onboard, nicht erweiterbar","Windows 11 Home","€ 1108,24","","https://geizhals.at/lenovo-yoga-slim-7a-14agp11-83qs003hge-a3732910.html"
"Apple MacBook Pro 14.2""","14.2""","3024x1964","3:2","254ppi","120Hz","Apple M4 Pro - 14 Core, 10x Everest Gen3 ""Performance"" (4.51GHz) + 4x Sawtooth Gen3 ""Efficiency"" (2.89GHz), TSMC N3E, ARMv9.2-A","Apple 20-Core GPU, Architektur ""G16"", 20C/​320EU/​2560SP","48GB LPDDR5X-8533 Onboard, nicht erweiterbar","macOS 26 via Update","€ 3125,04","€ 3418,00","https://geizhals.at/apple-macbook-pro-14-2-2024-z1fe-z1ff-a3358021.html"
"HP Pavilion Plus 14-ew1152ng","14""","2560x1600","16:10","216ppi","120Hz","Intel Core Ultra 5 125H, 4P+8E+2LPE/18T, 1.20-4.50GHz, 18MiB+14MiB Cache, 28-115W TDP (PBP/MTP), Codename ""Meteor Lake-H"" (Redwood Cove + Crestmont + Crestmont, Intel 4)","Intel Arc Graphics (iGPU), 7Xe/112EU/896SP, 2.20GHz, Architektur ""Xe-LPG""","16GB LPDDR5X-6400 Onboard, nicht erweiterbar","Windows 11 Home","€ 977,15","€ 1082,16","https://geizhals.at/hp-pavilion-plus-14-ew1152ng-natural-silver-a28qyea-abd-a3177487.html"
"Lenovo Yoga Slim 7 14ILL11 (Yoga Slim 7i Aura Edition)","14""","1920x1200","16:10","162ppi","60Hz","Intel Core Ultra 5 226V, 4P+4LPE/8T, 2.10-4.50GHz, 8MiB+14MiB Cache, 17-37W TDP (PBP/MTP), Codename ""Lunar Lake"" (Lion Cove + Skymont, TSMC N3B)","Intel Arc Graphics 130V (iGPU), 7Xe/56EU/896SP, 1.85GHz, Architektur ""Xe2-LPG""","16GB LPDDR5X-8533 Onboard, nicht erweiterbar","Windows 11 Home","€ 1149,00","","https://geizhals.at/lenovo-yoga-slim-7-14ill11-yoga-slim-7i-aura-edition-83r0cto1wwde1-83r0cto1wwat1-a3792423.html"
"Lenovo IdeaPad Slim 3 16AHP10","16""","1920x1200","16:10","142ppi","60Hz","AMD Ryzen 5 8640HS, 6C/12T, 3.50-4.90GHz, 16MiB+6MiB Cache, 28W TDP, 20-30W cTDP, Codename ""Hawk Point"" (Zen 4, TSMC 4nm)","AMD Radeon 760M (iGPU), 8CU/512SP, 8 RT-Cores, 2.60GHz, Architektur ""RDNA 3""","16GB gesamt, 8GB DDR5-5600 Onboard + 8GB DDR5-5600 (1x 8GB Modul, 1 Slot gesamt, 0 Slots frei, max. 16GB), max. 24GB gesamt","Windows 11 Home","€ 679,00","","https://geizhals.at/lenovo-ideapad-slim-3-16ahp10-83kb0036ge-a3702820.html"
"Lenovo ThinkPad P1 G8","16""","3200x2000","16:10","236ppi","120Hz","Intel Core Ultra 9 285H, 6P+8E+2LPE/16T, 2.90-5.40GHz, 24MiB+28MiB Cache, 45-115W TDP (PBP/MTP), Codename ""Arrow Lake-H"" (Lion Cove + Skymont + Skymont, TSMC N3B)","NVIDIA RTX PRO 2000 Blackwell - 8GB GDDR7 - Mobile, 26SM/3328SP, Codename ""GB206"" (Blackwell, TSMC N5P [NVIDIA 4N])","64GB CAMM LPDDR5X-7467 (1x 64GB LPCAMM2-Modul, 1 Sockel gesamt, 0 Sockel frei, max. 64GB)","Windows 11 Pro","€ 4879,00","","https://geizhals.at/lenovo-thinkpad-p1-g8-21q8003dge-a3699422.html"
